,Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,Latitude,Longitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,DataQuality,DataQualityIndicator,Datum
1,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,7/7/2011,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-342-11MCY_W_CYTOX,,labwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,NR,NR,,,,,WQ,Not Applicable,RWQCB3,NA,Not Applicable,-88,-88,None,NA,subsurface,None,1/1/1950 0:00,"Mekebri, et al., 2009",7/7/2011,7/7/2011,1,NA,DFW-WPCL,RWQCB3,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
2,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,7/9/2011,1899-12-30 00:00:00,Not Applicable,-88,m,CRM,1,1,UCSC_110709ANA_W_CYTOX,CRM CyTox,blankwater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,1.74,NA,0.25,0.25,=,None,VAC,Com,,,PR 99.43,QAO: verified against method criteria,WQ,Not Applicable,UCSC-IMS,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,7/9/2011,1,1.75,UCSC-IMS,UCSC-IMS,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
3,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/9/2011,1899-12-30 00:15:00,Not Applicable,-88,m,CRM,1,1,UCSC_110809ANA_W_CYTOX,CRM CyTox,blankwater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,1.82,NA,0.25,0.25,=,None,VAC,Com,,,PR 104.00,QAO: verified against method criteria,WQ,Not Applicable,UCSC-IMS,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,8/9/2011,1,1.75,UCSC-IMS,UCSC-IMS,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
4,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/16/2011,1899-12-30 00:00:00,Not Applicable,-88,m,CRM,1,1,UCSC_110816ANA_W_CYTOX,CRM CyTox,blankwater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,1.72,NA,0.25,0.25,=,None,VAC,Com,,,PR 98.29,QAO: verified against method criteria,WQ,Not Applicable,UCSC-IMS,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,8/16/2011,1,1.75,UCSC-IMS,UCSC-IMS,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
5,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,7/9/2011,1899-12-30 00:15:00,Not Applicable,-88,m,CRM,1,1,UCSC_110709ANA_W_CYTOX,CRM CyTox,blankwater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,1.74,NA,0.25,0.25,=,None,VAC,Com,,,PR 99.429,QAO: verified against method criteria,WQ,Not Applicable,UCSC-IMS,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,7/9/2011,1,1.75,UCSC-IMS,UCSC-IMS,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
6,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,10/24/2011,1899-12-30 00:00:00,Not Applicable,-88,m,CRM,1,1,UCSC_111024ANA_W_CYTOX,CRM CyTox,blankwater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,1.76,NA,0.25,0.25,=,None,VAC,Com,,,PR 100.57,QAO: verified against method criteria,WQ,Not Applicable,UCSC-IMS,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,10/24/2011,1,1.75,UCSC-IMS,UCSC-IMS,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
7,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,10/24/2011,1899-12-30 00:30:00,Not Applicable,-88,m,CRM,1,1,UCSC_111024ANA_W_CYTOX,CRM CyTox,blankwater,"Wood, et al., 2010","Anatoxin-A, Total",ug/L,1.76,NA,0.25,0.25,=,None,VAC,Com,,,PR 100.57,QAO: verified against method criteria,WQ,Not Applicable,UCSC-IMS,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,10/24/2011,1,1.75,UCSC-IMS,UCSC-IMS,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
8,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/14/2012,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_MCY_L-657-664-12_Pg147_W_CYTOX,L-657-12-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,clean solvent was used,,Cpds low %R MS/D.  Cpds hi in LCS/D and MS/D RPD.  All samples screened for Anatoxin-A. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/14/2012,11/19/2012,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
9,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/14/2012,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_MCY_L-657-664-12_Pg147_W_CYTOX,L-657-12-LCSD,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,9.5,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,"PR 47.6, RPD 1.7",Cpds low %R MS/D.  Cpds hi in LCS/D and MS/D RPD.  All samples screened for Anatoxin-A. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/14/2012,11/19/2012,1,20,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
10,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,6/10/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-271-285-13MCY_W_CYTOX,L-271-13-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,,,Cpd low %R LCS/D.  HT.  Result from re-anal for confirmation.  Low CCV. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",6/10/2013,7/12/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
